               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10601,            0.026161,                   0,           0.0022523,             0.45872,           0.0032835,          0.00073511,            0.087626,             0.02004,                   0,            0.070326,           0.0032971,           0.0032971
                   1,            0.086523,            0.021217,                   0,             0.19148,            0.073394,            0.067268,            0.020879,            0.081384,              0.0145,                   0,            0.040239,           0.0065429,           0.0065429
                   2,            0.077338,            0.019467,                   0,             0.63397,              0.3211,             0.34803,            0.099679,             0.07852,              0.0121,                   0,            0.010063,           0.0097007,           0.0097007
                   3,            0.068853,            0.018743,                   0,              0.2787,             0.47706,             0.28386,            0.075063,            0.074421,            0.011909,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.060501,            0.019022,                   0,             0.57697,             0.53806,              0.5261,             0.20035,            0.055084,            0.012766,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.055742,             0.01827,                   0,             0.68852,             0.61468,             0.59605,             0.25439,            0.051771,            0.012106,                   0,            0.009472,            0.009472,            0.009472
                   6,            0.053068,            0.016674,                   0,             0.68414,             0.55046,             0.59895,             0.23702,             0.04988,            0.010858,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.049117,            0.015026,                   0,              0.6668,             0.63303,             0.67467,              0.2257,            0.050385,           0.0097167,                   0,            0.009208,            0.009208,            0.009208
                   8,             0.04794,            0.014318,                   0,             0.74922,             0.71264,              0.7323,             0.33166,            0.042993,           0.0093192,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.047971,            0.013126,                   0,             0.74262,             0.70642,             0.74532,             0.30878,            0.049233,           0.0086602,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.042988,            0.011908,                   0,             0.83205,             0.70642,             0.79004,             0.37767,            0.041551,           0.0082091,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.041822,            0.011169,                   0,             0.90335,             0.70642,             0.83409,             0.44519,            0.043053,           0.0078388,                   0,             0.00868,             0.00868,             0.00868
                  12,            0.040801,            0.010812,                   0,             0.86007,             0.69725,             0.80123,             0.34334,            0.042757,            0.007567,                   0,            0.008548,            0.008548,            0.008548
                  13,             0.04137,            0.010523,                   0,             0.86874,             0.72866,             0.83682,              0.4119,            0.039725,           0.0074211,                   0,            0.008416,            0.008416,            0.008416
                  14,            0.040723,           0.0096782,                   0,             0.89655,             0.74312,             0.83961,             0.39208,            0.044091,           0.0072667,                   0,            0.008284,            0.008284,            0.008284
                  15,            0.039564,            0.010064,                   0,             0.88931,             0.78899,             0.86179,             0.40858,            0.042033,           0.0069882,                   0,            0.008152,            0.008152,            0.008152
                  16,             0.03847,           0.0096461,                   0,             0.83423,             0.78489,             0.86046,             0.47205,            0.036539,           0.0069408,                   0,             0.00802,             0.00802,             0.00802
                  17,            0.036665,           0.0090421,                   0,             0.88505,             0.80734,             0.85783,              0.4049,              0.0401,           0.0068059,                   0,            0.007888,            0.007888,            0.007888
                  18,            0.037903,           0.0092596,                   0,             0.90679,             0.79817,             0.86533,             0.49784,            0.035203,           0.0068243,                   0,            0.007756,            0.007756,            0.007756
                  19,            0.035997,           0.0090777,                   0,             0.85395,             0.85321,             0.88284,             0.48923,            0.037899,           0.0065395,                   0,            0.007624,            0.007624,            0.007624
                  20,            0.036783,           0.0086624,                   0,             0.88061,             0.81207,              0.8672,              0.4987,            0.036756,           0.0065147,                   0,            0.007492,            0.007492,            0.007492
                  21,            0.035106,           0.0084077,                   0,             0.90769,             0.84404,             0.90682,             0.48611,            0.036702,           0.0064373,                   0,             0.00736,             0.00736,             0.00736
                  22,             0.03325,           0.0088245,                   0,             0.87424,             0.79817,             0.87721,             0.40909,             0.04055,           0.0067619,                   0,            0.007228,            0.007228,            0.007228
                  23,            0.034444,           0.0087209,                   0,             0.84875,             0.82372,             0.87536,             0.51364,            0.034672,            0.006709,                   0,            0.007096,            0.007096,            0.007096
                  24,            0.032157,           0.0082053,                   0,             0.86488,             0.83486,             0.88509,             0.51334,            0.033587,            0.006777,                   0,            0.006964,            0.006964,            0.006964
                  25,            0.034734,           0.0084787,                   0,             0.90177,             0.84222,             0.87483,             0.44627,            0.040106,           0.0070225,                   0,            0.006832,            0.006832,            0.006832
                  26,             0.03276,           0.0087351,                   0,             0.91133,             0.82569,             0.88729,             0.45371,            0.039839,           0.0067641,                   0,              0.0067,              0.0067,              0.0067
                  27,            0.033273,            0.008082,                   0,             0.87573,             0.84052,               0.867,             0.47595,            0.036453,           0.0064953,                   0,            0.006568,            0.006568,            0.006568
                  28,            0.032002,           0.0080923,                   0,             0.89607,             0.84404,             0.85774,             0.46306,            0.035231,            0.006609,                   0,            0.006436,            0.006436,            0.006436
                  29,              0.0329,           0.0081211,                   0,             0.94724,             0.82351,             0.89884,             0.45154,            0.036885,           0.0067532,                   0,            0.006304,            0.006304,            0.006304
                  30,            0.030786,           0.0080149,                   0,             0.89592,             0.82569,              0.8812,             0.48716,            0.035425,             0.00679,                   0,            0.006172,            0.006172,            0.006172
                  31,            0.029161,           0.0075811,                   0,             0.85334,             0.80072,              0.8349,             0.48576,            0.034376,           0.0066446,                   0,             0.00604,             0.00604,             0.00604
